File,Key,Value
Locale.NB.xaml,Base64,ICAgIDxSZXNvdXJjZURpY3Rpb25hcnkuTWVyZ2VkRGljdGlvbmFyaWVzPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTG9jYWxlLnhhbWwiIC8+DQoNCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIueGFtbCIgLz4NCg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iVW5kby9VbmRvLk5CLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJVcGRhdGUvVXBkYXRlLk5CLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJQb3J0YWwvUG9ydGFsLk5CLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJXaXphcmQvV2l6YXJkLk5CLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJEaXNjb3JkL0Rpc2NvcmQuTkIueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkxhdW5jaGVyL0xhdW5jaGVyLk5CLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJQcm9wZXJ0eS9Qcm9wZXJ0eS5OQi54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iV2F0Y2hkb2cvV2F0Y2hkb2cuTkIueGFtbCIgLz4NCiAgICA8L1Jlc291cmNlRGljdGlvbmFyeS5NZXJnZWREaWN0aW9uYXJpZXM+
Discord\Discord.NB.xaml,Discord.BrowseButton,Bla Gjennom
Discord\Discord.NB.xaml,Discord.Details,Bakgrunnsmotor
Discord\Discord.NB.xaml,Discord.DownloadButton,Last Ned
Discord\Discord.NB.xaml,,
Discord\Discord.NB.xaml,Discord.LargestText0,Bananglassmaktkraft
Discord\Discord.NB.xaml,Discord.LargestText1,Smilende Hattemonster
Discord\Discord.NB.xaml,Discord.LargestText2,Fargerike Spurve som Farger Skyene
Discord\Discord.NB.xaml,Discord.LargestText3,Løpende Pingviners Hemmelige Eventyr
Discord\Discord.NB.xaml,Discord.LargestText4,Kaniner som Har Forsvunnet i Prestekragefeltet
Discord\Discord.NB.xaml,Discord.LargestText5,Sangende Vindblomster
Discord\Discord.NB.xaml,Discord.LargestText6,Mystiske bier i hemmelig skog
Discord\Discord.NB.xaml,Discord.LargestText7,Drømmeaktig fiskestim
Discord\Discord.NB.xaml,Discord.LargestText8,Krystalløyde dragedanser
Discord\Discord.NB.xaml,Discord.LargestText9,Eventyrsti dekket med blomster
Discord\Discord.NB.xaml,Discord.LargestText10,Stjerner faller fra himmelen
Discord\Discord.NB.xaml,Discord.LargestText11,Dans under det knuste månelyset
Discord\Discord.NB.xaml,Discord.LargestText12,Mystiske regnbue drager
Discord\Discord.NB.xaml,Discord.LargestText13,Magisk skogeventyr
Discord\Discord.NB.xaml,Discord.LargestText14,Blomsterregn mot himmelen
Discord\Discord.NB.xaml,Discord.LargestText15,Tidens stille berøring
Discord\Discord.NB.xaml,Discord.LargestText16,Surrealistisk drømmeland
Discord\Discord.NB.xaml,Discord.LargestText17,Gullfossenes sanger
Discord\Discord.NB.xaml,Discord.LargestText18,Eventyrbåter som svever mot himmelen
Discord\Discord.NB.xaml,Discord.LargestText19,Fargerik ballongskog
Discord\Discord.NB.xaml,Discord.LargestText20,Mystisk undervannsby
Discord\Discord.NB.xaml,Discord.LargestText21,Stjernestøvde himmel
Discord\Discord.NB.xaml,Discord.LargestText22,Vinder som forfølger det ukjente
Discord\Discord.NB.xaml,Discord.LargestText23,Fengende historier under månelys
Discord\Discord.NB.xaml,,
Discord\Discord.NB.xaml,Discord.SmallestText0,Mystiske Fotspor
Discord\Discord.NB.xaml,Discord.SmallestText1,Flyvende Ballongfisk
Discord\Discord.NB.xaml,Discord.SmallestText2,Blomster som Ler Høyt
Discord\Discord.NB.xaml,Discord.SmallestText3,Søtsmakende Sukkervatnskyer
Discord\Discord.NB.xaml,Discord.SmallestText4,Frosne Pizzadrager
Discord\Discord.NB.xaml,Discord.SmallestText5,Lyse Soppkorsarer
Discord\Discord.NB.xaml,Discord.SmallestText6,Usynlige enhjørningsfotspor
Discord\Discord.NB.xaml,Discord.SmallestText7,Fargede støvskyer
Discord\Discord.NB.xaml,Discord.SmallestText8,Gullballong sommerfugler
Discord\Discord.NB.xaml,Discord.SmallestText9,Sukkerkraterreise
Discord\Discord.NB.xaml,Discord.SmallestText10,Pizzastråler flyr med rakett
Discord\Discord.NB.xaml,Discord.SmallestText11,Dansende sjøskjell med solen
Discord\Discord.NB.xaml,Discord.SmallestText12,Usynlige stjernedryppende fingre
Discord\Discord.NB.xaml,Discord.SmallestText13,Tåkete undervannsdans
Discord\Discord.NB.xaml,Discord.SmallestText14,Regnbuefuglmigrasjon
Discord\Discord.NB.xaml,Discord.SmallestText15,Sukkerstormens vei
Discord\Discord.NB.xaml,Discord.SmallestText16,Uendelig pizzagalakse
Discord\Discord.NB.xaml,Discord.SmallestText17,Solen smiler
Discord\Discord.NB.xaml,Discord.SmallestText18,Den tapte latteren til den skjulte dammen
Discord\Discord.NB.xaml,Discord.SmallestText19,Drømmefuglenes skygge
Discord\Discord.NB.xaml,Discord.SmallestText20,Sommerfugler som stiger mot himmelen
Discord\Discord.NB.xaml,Discord.SmallestText21,Sanger skjult bak stjernene
Discord\Discord.NB.xaml,Discord.SmallestText22,Tåkete fjell i eventyret
Discord\Discord.NB.xaml,Discord.SmallestText23,Den mystiske skogens fe
Discord\Discord.NB.xaml,,
Discord\Discord.NB.xaml,Discord.StatementText0,Et Univers Fylt av Kaos
Discord\Discord.NB.xaml,Discord.StatementText1,Midt i Uendelige Eventyr
Discord\Discord.NB.xaml,Discord.StatementText2,En Merkelig og Magisk Verden
Discord\Discord.NB.xaml,Discord.StatementText3,Som Utfordrer Fantasiens Grenser
Discord\Discord.NB.xaml,Discord.StatementText4,En Uvanlig Virkelighet
Discord\Discord.NB.xaml,Discord.StatementText5,I Fantasiens Dyp
Discord\Discord.NB.xaml,Discord.StatementText6,En Magisk Oppdagelsesreise
Discord\Discord.NB.xaml,Discord.StatementText7,Ved Porten til Ukjente Riker
Discord\Discord.NB.xaml,Discord.StatementText8,En Kompleks Drømmeverden
Discord\Discord.NB.xaml,Discord.StatementText9,En Eventyr som Utfordrer Grensene
Discord\Discord.NB.xaml,Discord.StatementText10,En Dynamisk og Overraskende Opplevelse
Discord\Discord.NB.xaml,Discord.StatementText11,I en Fantastisk Eventyrfortelling
Discord\Discord.NB.xaml,Discord.StatementText12,Mellom magiske porter
Discord\Discord.NB.xaml,Discord.StatementText13,Reise til nattehimmelen
Discord\Discord.NB.xaml,Discord.StatementText14,På sporet av den tapte kontinentet
Discord\Discord.NB.xaml,Discord.StatementText15,Historien om ukjente planeter
Discord\Discord.NB.xaml,Discord.StatementText16,Utforsking av parallelle universer
Discord\Discord.NB.xaml,Discord.StatementText17,Inngangen til legendariske riker
Discord\Discord.NB.xaml,Discord.StatementText18,Vevd virkelighet med drømmens tekstur
Discord\Discord.NB.xaml,Discord.StatementText19,En drøm blant stjernene
Discord\Discord.NB.xaml,Discord.StatementText20,Bak dørene til tiden
Discord\Discord.NB.xaml,Discord.StatementText21,Det glitrende stjernelaget
Discord\Discord.NB.xaml,Discord.StatementText22,Det ukjente roper stille
Discord\Discord.NB.xaml,Discord.StatementText23,En fengslende verden
Discord\Discord.NB.xaml,Discord.StatementText24,På toppen av de mystiske fjellene
