Term,Translate,Context,Reference,Comment
Base64⦙0,ICAgIDxSZXNvdXJjZURpY3Rpb25hcnkuTWVyZ2VkRGljdGlvbmFyaWVzPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTG9jYWxlLnhhbWwiIC8+DQoNCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIueGFtbCIgLz4NCg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGl2ZS9MaXZlLkVTLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJVbmRvL1VuZG8uRVMueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlVwZGF0ZS9VcGRhdGUuRVMueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlBvcnRhbC9Qb3J0YWwuRVMueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IkRpc2NvcmQvRGlzY29yZC5FUy54YW1sIiAvPg0KICAgICAgICA8UmVzb3VyY2VEaWN0aW9uYXJ5IFNvdXJjZT0iTGF1bmNoZXIvTGF1bmNoZXIuRVMueGFtbCIgLz4NCiAgICAgICAgPFJlc291cmNlRGljdGlvbmFyeSBTb3VyY2U9IlByb3BlcnR5L1Byb3BlcnR5LkVTLnhhbWwiIC8+DQogICAgICAgIDxSZXNvdXJjZURpY3Rpb25hcnkgU291cmNlPSJXYXRjaGRvZy9XYXRjaGRvZy5FUy54YW1sIiAvPg0KICAgIDwvUmVzb3VyY2VEaWN0aW9uYXJ5Lk1lcmdlZERpY3Rpb25hcmllcz4=,Don't Touch,Locale.ES.xaml,Please don't touch the translation in this line.
Discord.BrowseButton,Navegar,,Discord\Discord.ES.xaml,
Discord.Details,Motor de Papel Tapiz,,Discord\Discord.ES.xaml,
Discord.DownloadButton,Descargar,,Discord\Discord.ES.xaml,
PASS⦙0,PASS⦙0,Don't Touch,Discord\Discord.ES.xaml,Please don't touch the translation in this line.
Discord.LargestText0,El poder del helado de plátano,,Discord\Discord.ES.xaml,
Discord.LargestText1,El monstruo sonriente del sombrero,,Discord\Discord.ES.xaml,
Discord.LargestText2,Los gorriones que pintan las nubes,,Discord\Discord.ES.xaml,
Discord.LargestText3,Las aventuras secretas de los pingüinos corredores,,Discord\Discord.ES.xaml,
Discord.LargestText4,Los conejos perdidos en el campo de margaritas,,Discord\Discord.ES.xaml,
Discord.LargestText5,Los girasoles que cantan,,Discord\Discord.ES.xaml,
Discord.LargestText6,Las Abejas Secretas del Bosque Misterioso,,Discord\Discord.ES.xaml,
Discord.LargestText7,Cardumen de Peces en un Sueño,,Discord\Discord.ES.xaml,
Discord.LargestText8,Baile del Dragón con Ojos de Cristal,,Discord\Discord.ES.xaml,
Discord.LargestText9,Camino de Cuentos Cubierto de Flores,,Discord\Discord.ES.xaml,
Discord.LargestText10,Estrellas Derramándose desde el Cielo,,Discord\Discord.ES.xaml,
Discord.LargestText11,Baile Bajo la Luz de la Luna Rota,,Discord\Discord.ES.xaml,
Discord.LargestText12,Dragones Arcoíris Misteriosos,,Discord\Discord.ES.xaml,
Discord.LargestText13,Cuento Encantado del Bosque,,Discord\Discord.ES.xaml,
Discord.LargestText14,Lluvia de Flores hacia el Cielo,,Discord\Discord.ES.xaml,
Discord.LargestText15,Toque Silencioso del Tiempo,,Discord\Discord.ES.xaml,
Discord.LargestText16,País de Sueños Surreales,,Discord\Discord.ES.xaml,
Discord.LargestText17,Canciones de la Cascada Dorada,,Discord\Discord.ES.xaml,
Discord.LargestText18,Barcos de Cuentos Flotando hacia el Cielo,,Discord\Discord.ES.xaml,
Discord.LargestText19,Bosque de Globos Coloridos,,Discord\Discord.ES.xaml,
Discord.LargestText20,Ciudad Submarina Misteriosa,,Discord\Discord.ES.xaml,
Discord.LargestText21,Cielo Polvoriento de Estrellas,,Discord\Discord.ES.xaml,
Discord.LargestText22,Vientos que Persiguen lo Desconocido,,Discord\Discord.ES.xaml,
Discord.LargestText23,Historias Fascinantes Bajo la Luz de la Luna,,Discord\Discord.ES.xaml,
PASS⦙1,PASS⦙1,Don't Touch,Discord\Discord.ES.xaml,Please don't touch the translation in this line.
Discord.SmallestText0,Huellas misteriosas,,Discord\Discord.ES.xaml,
Discord.SmallestText1,Los peces globo voladores,,Discord\Discord.ES.xaml,
Discord.SmallestText2,Las flores que ríen,,Discord\Discord.ES.xaml,
